Comment,Designator,Footprint,LCSC Part #,Quantity,MPN,Manufacturer
,U14,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C107671,1,PCM5102APWR,TI(德州仪器)
,U15,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,C11133,1,TS5A23157DGSR,TI(德州仪器)
,D6 D7,SMA_L4.4-W2.6-LS5.0-RD,C113952,2,SMAJ5.0A,MDD(辰达半导体)
100kΩ,R18 R27,R0805,C122537,2,RT0805BRD07100KL,YAGEO(国巨)
100nF,C2 C6 C12 C13 C14 C15 C18 C20 C31 C36 C45 C48 C50,C0402,C1525,13,CL05B104KO5NNNC,SAMSUNG(三星)
,J3 J4,USB-C_SMD-TYPE-C-31-M-12_1,C165948,2,TYPE-C-31-M-12,韩国韩荣
2.2Ω,R14,R0805,C17521,1,0805W8F220KT5E,UNI-ROYAL(厚声)
,U2,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,C202140,1,TPS63021DSJR,TI(德州仪器)
,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20917,1,AO3400A,AOS
,U9,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,C2682616,1,MAX17048G+T10,ADI(亚德诺)/MAXIM(美信)
,U11 U12,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2687116,2,USBLC6-2SC6,UMW(友台半导体)
,U13,DFN-8_L2.5-W2.5-P0.50-BL-EP,C2687423,1,SHT30-DIS-B10KS,Sensirion(瑞士盛思锐)
68uH,L1,IND-SMD_L3.5-W3.0,C2826627,1,CD32-680M 68UH,DMBJ(振宝佳)
,U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C2830320,1,FS8205A,TECH PUBLIC(台舟)
1uF,C3 C19 C21 C22 C23 C27 C28,C0805,C28323,7,CL21B105KBFNNNE,SAMSUNG(三星)
,U16,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,C2875838,1,NS4150C,Nsiway(纳芯威)
1kΩ,R2 R3 R11 R28,R0805,C2907232,4,FRC0805F1001TS,FOJAN(富捷)
5.1kΩ,R6 R7 R8 R9,R0805,C2907269,4,FRC0805F5101TS,FOJAN(富捷)
4.7kΩ,R16 R17,R0805,C2907326,2,FRC0805J472 TS,FOJAN(富捷)
470Ω,R10,R0805,C2907329,1,FRC0805J471 TS,FOJAN(富捷)
2.4GHz,U1,WIRELM-SMD_ESP32-S3-WROOM-1,C2913202,1,ESP32-S3-WROOM-1-N16R8,ESPRESSIF(乐鑫)
10kΩ,R1 R5 R12 R13 R15 R19 R20 R21 R22 R23 R24 R25 R26 R29,R0805,C2930231,14,FRC0805J103TS,FOJAN(富捷)
1.2kΩ,R4,R0805,C2933293,1,FRC0805F1201TS,FOJAN(富捷)
,U10,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,C2977777,1,CH340N,WCH(南京沁恒)
,J8,CONN-TH_2P-P2.54_HCTL_HC-2510-2A,C2982031,1,HC-2510-2A,HCTL(华灿天禄)
,J1,CONN-TH_9P-P2.54_HCTL_HC-2510-9A,C2982038,1,HC-2510-9A,HCTL(华灿天禄)
,SW1,SW-TH_ALPS_EC11L1525G01,C2991196,1,EC11L1525G01,ALPSALPINE(阿尔卑斯阿尔派)
,BOOT1 EN1 SW3 SW4,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H5.0,C318885,4,TS-1187A-C-J-B,XKB Connection(中国星坤)
10uF,C4 C5 C10 C11 C16 C29 C30 C47 C49,C0805,C33546007,9,HGC0805R5106K350NSLJ,Chinocera(华瓷)
,Q2,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,C347476,1,AO3401A,UMW(友台半导体)
,U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C351410,1,DW01A,PUOLOP(迪浦)
4.7uF,C26,C0805,C162420,1,GRM21BR61H475KE51L,MURATA(村田)
,U3,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C382139,1,TP4056,TPOWER(天源)
,J5 J7,CONN-SMD_PH2.0-2PWT,C52037422,2,PH2.0-2PWT,XUNPU(讯普)
,J6,FPC-SMD_24P-P0.50_FPC0509-24RL-TAG,C53055552,1,FPC0509-24RL-TAG,LXWCONN(连兴旺电子)
,U4,COMM-SMD_24P-L19.0-W13.0-P1.27_EWM104-BT60SP3,C53145191,1,EWM104-BT60SP3,EBYTE(亿佰特)
22uF,C1 C7 C8 C9,C0805,C6119899,4,CGA0805X5R226M250MT,HRE(芯声)
,D1 D2,SMA_L4.3-W2.6-LS5.0-FD,C7420365,2,SS34,R+O(宏嘉诚)
,D3 D4 D5,SOD-123_L2.7-W1.6-LS3.7-RD-1,C82046,3,MBR0530T1G,onsemi(安森美)
,J2,TF-SMD_TF-01A,C91145,1,TF-01A,韩国韩荣
1uF,C17 C24 C25 C32 C33 C34 C35 C37 C38 C39 C40 C41 C42 C43 C44 C46 C51,C0805,C91186,17,CC0805KKX7R8BB105,YAGEO(国巨)
,RED_1 RED_2,LED0805-RD_RED,C965812,2,XL-2012SURC,XINGLIGHT(成兴光)
,GREEN_1,LED0805-RD_GREEN,C965815,1,XL-2012UGC,XINGLIGHT(成兴光)
1.5uH,L3,IND-SMD_L4.0-W4.0,C98360,1,WPN4020H1R5MT,Sunlord(顺络)
